GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
21901314,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,79,0.494,10,20,0.5,24,36,0.667,9,35,44,24,4,8,15,20,112,-6
21901298,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,93,0.495,13,32,0.406,18,20,0.9,9,50,59,28,10,5,22,20,123,18
21901287,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,89,0.449,11,28,0.393,31,32,0.969,15,36,51,22,12,6,17,27,122,9
21901274,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,45,89,0.506,9,22,0.409,20,26,0.769,8,39,47,27,10,5,13,18,119,8
21901264,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,93,0.495,11,30,0.367,23,27,0.852,10,25,35,29,10,5,7,20,126,-6
21901254,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,93,0.495,12,26,0.462,26,29,0.897,13,31,44,21,7,6,14,23,130,-2
21901246,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,36,86,0.419,12,29,0.414,24,33,0.727,12,37,49,22,5,6,16,20,108,2
21901237,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,48,90,0.533,11,25,0.44,22,27,0.815,9,33,42,32,6,4,15,17,129,9
21900965,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,46,89,0.517,15,32,0.469,12,15,0.8,6,34,40,32,11,10,11,15,119,10
21900954,1610612759,Foufous de Sochaux,FFS,Sochaux,265:00:00,43,98,0.439,10,26,0.385,33,36,0.917,6,38,44,20,15,6,9,34,129,-3
21900931,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,43,92,0.467,10,34,0.294,24,27,0.889,2,36,38,25,3,5,6,20,120,-19
21900909,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,80,0.475,11,32,0.344,17,20,0.85,6,27,33,25,12,5,10,16,104,1
21900908,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,77,0.519,16,32,0.5,15,19,0.789,3,30,33,21,6,5,14,19,111,-5
21900893,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,44,84,0.524,14,31,0.452,12,16,0.75,4,27,31,28,11,5,17,20,114,1
21900869,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,39,92,0.424,11,33,0.333,14,19,0.737,13,42,55,22,8,7,15,21,103,-6
21900846,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,38,103,0.369,11,38,0.289,16,19,0.842,14,29,43,27,5,1,9,23,103,-28
21900832,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,40,91,0.44,10,20,0.5,23,26,0.885,7,41,48,22,12,7,6,20,113,9
21900805,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,84,0.488,7,25,0.28,25,27,0.926,7,39,46,20,9,7,11,19,114,8
21900799,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,85,0.482,16,32,0.5,22,25,0.88,9,27,36,33,7,1,10,17,120,-7
21900785,1610612759,Foufous de Sochaux,FFS,Sochaux,240:00:00,41,81,0.506,7,24,0.292,13,18,0.722,8,33,41,23,7,4,14,22,102,-20
